Fecha,Mes,Punto de Muestreo,Analito,Resultado numérico,Cumplimiento,,AÑO,Analito (Limpio),,,Muestras Totales,6
20/2/2026,febrero,Aire comprimido para limpieza - Linea Pasta,"Aerobios mesófilos totales
(ufc/placa)",3,Dentro de límite,3,2025,Aerobios mesófilos totales (ufc/placa),,,% Cumplimiento,"16,67%"
20/2/2026,febrero,Nitrogeno de Envasadora N°2,"Aerobios mesófilos totales
(ufc/placa)",16,Fuera de límite,16,2025,Aerobios mesófilos totales (ufc/placa),,,,
20/2/2026,febrero,Nitrogeno de Envasadora N°2,"Aerobios mesófilos totales
(ufc/placa)",22,Fuera de límite,22,2025,Aerobios mesófilos totales (ufc/placa),,,,
20/2/2026,febrero,Aire comprimido para limpieza - Linea Pasta,"Hongos y Levaduras
(ufc/placa)",13,Fuera de límite,13,2025,Hongos y Levaduras (ufc/placa),,,,
20/2/2026,febrero,Nitrogeno de Envasadora N°2,"Hongos y Levaduras
(ufc/placa)",34,Fuera de límite,34,2025,Hongos y Levaduras (ufc/placa),,,,
20/2/2026,febrero,Nitrogeno de Envasadora N°2,"Hongos y Levaduras
(ufc/placa)",34,Fuera de límite,34,2025,Hongos y Levaduras (ufc/placa),,,,