Fecha,Mes,Punto de Muestreo,Analito,Resultado numérico,Cumplimiento,,AÑO,Analito (Limpio),,,Muestras Totales,10
20/2/2026,febrero,Personal Línea de Pasta,Staphylococcus aureus (ufc/mano),8,Dentro de límite,8,2026,Staphylococcus aureus (ufc/mano),,,% Cumplimiento,"70,00%"
20/2/2026,febrero,Personal Línea de Embolse,Staphylococcus aureus (ufc/mano),12,Fuera de límite,12,2026,Staphylococcus aureus (ufc/mano),,,,
20/2/2026,febrero,Personal de Horno,Staphylococcus aureus (ufc/mano),4,Dentro de límite,4,2026,Staphylococcus aureus (ufc/mano),,,,
20/2/2026,febrero,Personal del Frito,Staphylococcus aureus (ufc/mano),30,Fuera de límite,30,2026,Staphylococcus aureus (ufc/mano),,,,
20/2/2026,febrero,Personal del Salador,Staphylococcus aureus (ufc/mano),,Dentro de límite,0,2026,Staphylococcus aureus (ufc/mano),,,,
20/2/2026,febrero,Personal Línea de Pasta,Enterobacterias (ufc/mano),10,Fuera de límite,10,2026,Enterobacterias (ufc/mano),,,,
20/2/2026,febrero,Personal Línea de Embolse,Enterobacterias (ufc/mano),8,Dentro de límite,8,2026,Enterobacterias (ufc/mano),,,,
20/2/2026,febrero,Personal de Horno,Enterobacterias (ufc/mano),0,Dentro de límite,0,2026,Enterobacterias (ufc/mano),,,,
20/2/2026,febrero,Personal del Frito,Enterobacterias (ufc/mano),0,Dentro de límite,0,2026,Enterobacterias (ufc/mano),,,,
20/2/2026,febrero,Personal del Salador,Enterobacterias (ufc/mano),,Dentro de límite,0,2026,Enterobacterias (ufc/mano),,,,